Name,Roll No,Present,Total Days
Ayesha Khan,CS-001,72,100
Bilal Ahmed,CS-002,58,100
Sara Hussain,CS-003,91,100
Umar Farooq,CS-004,65,100
Zainab Malik,CS-005,80,100
Hamid Raza,CS-006,49,100
Nadia Qureshi,CS-007,77,100
Kamran Sheikh,CS-008,70,100
Farah Siddiqui,CS-009,83,100
Tariq Mehmood,CS-010,55,100
Hina Baig,CS-011,95,100
Aqib Nawaz,CS-012,62,100
Sana Javed,CS-013,88,100
Mohsin Ali,CS-014,41,100
Rabia Tahir,CS-015,76,100
Faisal Iqbal,CS-016,60,100
Maham Noor,CS-017,93,100
Zubair Khan,CS-018,67,100
Amna Butt,CS-019,85,100
Rehman Sajid,CS-020,53,100
